5.1,0.222222222,3.5,0.625,1.4,0.06779661,0.2,0.041666667,setosa
5.8,0.416666667,2.8,0.333333333,5.1,0.694915254,2.4,0.958333333,virginica
5.6,0.361111111,2.9,0.375,3.6,0.440677966,1.3,0.5,versicolor
5,0.194444444,3.4,0.583333333,1.5,0.084745763,0.2,0.041666667,setosa
4.8,0.138888889,3.4,0.583333333,1.9,0.152542373,0.2,0.041666667,setosa
4.9,0.166666667,2.4,0.166666667,3.3,0.389830508,1,0.375,versicolor
5.7,0.388888889,2.5,0.208333333,5,0.677966102,2,0.791666667,virginica
7.7,0.944444444,3.8,0.75,6.7,0.966101695,2.2,0.875,virginica
6.1,0.5,3,0.416666667,4.9,0.661016949,1.8,0.708333333,virginica
6.2,0.527777778,2.8,0.333333333,4.8,0.644067797,1.8,0.708333333,virginica
5.4,0.305555556,3.4,0.583333333,1.5,0.084745763,0.4,0.125,setosa
5.7,0.388888889,2.6,0.25,3.5,0.423728814,1,0.375,versicolor
6,0.472222222,2.7,0.291666667,5.1,0.694915254,1.6,0.625,versicolor
7.3,0.833333333,2.9,0.375,6.3,0.898305085,1.8,0.708333333,virginica
7.7,0.944444444,2.6,0.25,6.9,0.9999,2.3,0.916666667,virginica
6.1,0.5,2.8,0.333333333,4.7,0.627118644,1.2,0.458333333,versicolor
5.8,0.416666667,2.7,0.291666667,4.1,0.525423729,1,0.375,versicolor
7.7,0.944444444,2.8,0.333333333,6.7,0.966101695,2,0.791666667,virginica
6.6,0.638888889,3,0.416666667,4.4,0.576271186,1.4,0.541666667,versicolor
6.3,0.555555556,2.5,0.208333333,4.9,0.661016949,1.5,0.583333333,versicolor
5,0.194444444,2,0.01,3.5,0.423728814,1,0.375,versicolor
6.8,0.694444444,3,0.416666667,5.5,0.762711864,2.1,0.833333333,virginica
5.4,0.305555556,3.4,0.583333333,1.7,0.118644068,0.2,0.041666667,setosa
6.9,0.722222222,3.1,0.458333333,4.9,0.661016949,1.5,0.583333333,versicolor
5.1,0.222222222,3.7,0.708333333,1.5,0.084745763,0.4,0.125,setosa
5.7,0.388888889,3.8,0.75,1.7,0.118644068,0.3,0.083333333,setosa
5.6,0.361111111,2.5,0.208333333,3.9,0.491525424,1.1,0.416666667,versicolor
6.5,0.611111111,2.8,0.333333333,4.6,0.610169492,1.5,0.583333333,versicolor
6.6,0.638888889,2.9,0.375,4.6,0.610169492,1.3,0.5,versicolor
4.4,0.027777778,2.9,0.375,1.4,0.06779661,0.2,0.041666667,setosa
4.8,0.138888889,3.4,0.583333333,1.6,0.101694915,0.2,0.041666667,setosa
