5.1,0.222222222,3.5,0.625,1.4,0.06779661,0.2,0.041666667,setosa
5.2,0.25,3.4,0.583333333,1.4,0.06779661,0.2,0.041666667,setosa
7.4,0.861111111,2.8,0.333333333,6.1,0.86440678,1.9,0.75,virginica
5.9,0.444444444,3.2,0.5,4.8,0.644067797,1.8,0.708333333,versicolor
4.7,0.111111111,3.2,0.5,1.3,0.050847458,0.2,0.041666667,setosa
5.4,0.305555556,3.7,0.708333333,1.5,0.084745763,0.2,0.041666667,setosa
5,0.194444444,2,0.01,3.5,0.423728814,1,0.375,versicolor
4.8,0.138888889,3.1,0.458333333,1.6,0.101694915,0.2,0.041666667,setosa
5.7,0.388888889,2.6,0.25,3.5,0.423728814,1,0.375,versicolor
4.4,0.027777778,2.9,0.375,1.4,0.06779661,0.2,0.041666667,setosa
4.7,0.111111111,3.2,0.5,1.6,0.101694915,0.2,0.041666667,setosa
6.3,0.555555556,3.3,0.541666667,6,0.847457627,2.5,0.9999,virginica
7.3,0.833333333,2.9,0.375,6.3,0.898305085,1.8,0.708333333,virginica
5.6,0.361111111,2.5,0.208333333,3.9,0.491525424,1.1,0.416666667,versicolor
6.1,0.5,2.8,0.333333333,4.7,0.627118644,1.2,0.458333333,versicolor
4.9,0.166666667,2.4,0.166666667,3.3,0.389830508,1,0.375,versicolor
4.9,0.166666667,3.1,0.458333333,1.5,0.084745763,0.1,0.01,setosa
6.4,0.583333333,3.2,0.5,5.3,0.728813559,2.3,0.916666667,virginica
7.2,0.805555556,3.2,0.5,6,0.847457627,1.8,0.708333333,virginica
7.2,0.805555556,3.6,0.666666667,6.1,0.86440678,2.5,0.9999,virginica
5,0.194444444,3.4,0.583333333,1.5,0.084745763,0.2,0.041666667,setosa
6.4,0.583333333,2.9,0.375,4.3,0.559322034,1.3,0.5,versicolor
5.5,0.333333333,2.3,0.125,4,0.508474576,1.3,0.5,versicolor
6.7,0.666666667,3,0.416666667,5,0.677966102,1.7,0.666666667,versicolor
6.5,0.611111111,3.2,0.5,5.1,0.694915254,2,0.791666667,virginica
5.6,0.361111111,3,0.416666667,4.5,0.593220339,1.5,0.583333333,versicolor
4.3,0.01,3,0.416666667,1.1,0.016949153,0.1,0.01,setosa
6.1,0.5,2.9,0.375,4.7,0.627118644,1.4,0.541666667,versicolor
6.6,0.638888889,3,0.416666667,4.4,0.576271186,1.4,0.541666667,versicolor
5.8,0.416666667,2.7,0.291666667,5.1,0.694915254,1.9,0.75,virginica
5.8,0.416666667,4,0.833333333,1.2,0.033898305,0.2,0.041666667,setosa
