idConfiguration,ACK,BIB,BOLD_ACK,BREF,EMAIL,JS_FOOTNOTESIZE,JS_SCRIPTSIZE,JS_STYLE,JS_TINY,LONG_ACK,LONG_AFFILIATION,PARAGRAPH_ACK,PL_FOOTNOTE,VARY_LATEX,bref_size,cserver_size,vspace_bib,nbPages
10,true,true,true,true,true,false,true,true,false,false,true,false,true,true,1,0.8,1.7,5
100,true,true,false,true,false,false,false,true,true,true,false,true,false,true,0.7,0.9,2.3,4
101,false,true,false,true,false,false,true,true,false,false,true,false,false,true,0.7,0.7,0.4,4
102,true,true,false,true,true,false,true,true,false,true,true,true,false,true,0.8,0.9,4.6,5
103,true,true,true,true,false,false,true,true,false,false,false,false,false,true,0.9,0.9,0.4,5
104,false,true,false,true,true,false,false,true,true,false,true,false,true,true,0.9,0.9,2,4
105,true,true,false,true,false,false,false,true,true,false,false,true,false,true,0.8,0.7,2.4,4
106,true,true,true,true,false,false,false,true,true,true,true,false,false,true,0.9,0.8,1.3,4
107,true,true,false,true,false,false,true,true,false,false,true,true,true,true,1,0.8,1.4,5
108,true,true,true,true,false,false,false,true,true,true,true,false,true,true,0.8,0.7,0.9,4
109,true,true,false,true,false,false,true,true,false,true,false,true,true,true,0.7,0.8,1.2,5
11,true,true,true,true,true,false,false,true,true,false,true,false,false,true,0.8,0.9,0.9,4
110,true,true,true,true,false,false,false,true,true,true,false,false,true,true,0.7,0.8,3.3,4
111,true,true,false,true,false,false,false,true,true,true,false,true,true,true,0.7,0.9,2.6,5
112,true,true,false,true,false,false,true,true,false,true,false,true,true,true,0.8,0.8,3.6,5
113,true,true,false,true,false,false,false,true,true,true,false,true,true,true,0.9,0.7,0.7,4
114,false,true,false,true,true,false,false,true,true,false,true,false,true,true,1,0.7,3.2,4
115,true,true,false,true,false,false,true,true,false,true,true,true,false,true,1,0.7,0.1,5
116,true,true,true,true,false,false,false,true,true,true,false,false,false,true,0.8,0.9,3.5,4
117,true,true,false,true,false,false,false,true,true,true,true,true,true,true,0.8,0.9,5,5
118,true,true,false,true,false,false,true,true,false,false,false,true,true,true,0.9,0.9,4.9,5
119,true,true,true,true,false,false,false,true,true,true,false,false,true,true,0.8,0.7,0.4,4
12,true,true,true,true,false,false,true,true,false,false,false,false,true,true,0.8,0.8,4,5
120,false,true,false,true,false,false,true,true,false,false,false,false,true,true,0.7,0.9,4.9,5
121,true,true,false,true,false,false,false,true,true,true,true,true,false,true,0.9,0.9,0,5
122,true,true,true,true,false,false,true,true,false,true,false,false,false,true,0.8,0.8,1.1,5
123,true,true,true,true,false,false,false,true,true,true,true,false,true,true,0.9,0.7,4.5,4
124,true,true,false,true,true,false,true,true,false,false,true,true,true,true,0.8,0.9,3.9,5
125,true,true,true,true,false,false,false,true,true,true,true,false,true,true,0.7,0.7,4.7,4
126,true,true,false,true,true,false,false,true,true,true,true,true,false,true,1,0.8,4.2,4
127,true,true,true,true,true,false,false,true,true,true,true,false,true,true,1,0.8,2.4,5
128,false,true,false,true,false,false,true,true,false,false,false,false,false,true,0.8,0.8,4.5,5
129,true,true,true,true,false,false,false,true,true,true,true,false,false,true,0.8,0.7,3.2,4
13,true,true,false,true,false,false,false,true,true,true,false,true,false,true,1,0.7,4.3,4
130,true,true,false,true,false,false,true,true,false,false,true,true,false,true,0.8,0.7,2.4,5
131,true,true,false,true,true,false,false,true,true,true,true,true,true,true,1,0.8,2,5
132,true,true,true,true,false,false,true,true,false,true,false,false,false,true,0.7,0.9,0.4,5
133,true,true,true,true,false,false,false,true,true,true,false,false,true,true,0.7,0.9,0.4,4
134,true,true,true,true,false,false,false,true,true,false,false,false,true,true,0.9,0.9,1.7,4
135,true,true,false,true,true,false,true,true,false,true,true,true,true,true,0.8,0.8,0.8,5
136,true,true,true,true,false,false,true,true,false,false,false,false,false,true,0.7,0.7,0.2,4
137,true,true,true,true,true,false,true,true,false,false,true,false,true,true,1,0.9,1.9,5
138,false,true,false,true,true,false,false,true,true,false,true,false,true,true,1,0.7,0.9,4
139,true,true,false,true,false,false,false,true,true,true,false,true,true,true,0.7,0.9,0.1,5
14,true,true,false,true,false,false,false,true,true,false,false,true,false,true,0.9,0.7,4.4,4
140,true,true,false,true,false,false,true,true,false,false,true,true,true,true,0.8,0.7,2.6,5
141,true,true,true,true,false,false,true,true,false,true,false,false,false,true,0.8,0.8,4.5,5
